index,Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive,toxicity
269,Moisturizer,LANCÔME,Hydra Zen Anti-Stress Gel Moisturizer,48,4.6,"Water, Glycerin, Cyclohexasiloxane, Cetearyl Ethylhexanoate, Alcohol Denat., Ammonium Polyacryloyldimethyl Taurate, Ci 14700, Red 4, T-Butyl Alcohol, Madecassoside, Phenoxyethanol, Paeonia Suffruticosa Root Extract, Eugenol, Triethanolamine, Chlorphenesin, Salicylic Acid, Dimethicone, Dimethiconol, Limonene, Xanthan Gum, Benzyl Alcohol, Isopropyl Myristate, Propylene Glycol, Alpha-Isomethyl Ionone, Sorbitol, Moringa Pterygosperma Seed Extract, Disodium Edta, Rosa Gallica Flower Extract, Disodium Phosphate, Butylene Glycol, Butylphenyl Methylpropional, Citric Acid, Fragrance.",1,1,1,1,1,High
273,Moisturizer,PETER THOMAS ROTH,Mega Rich Intensive Anti-Aging Cellular Creme,85,4.5,"Water, Glycerin, Glyceryl Stearate, C12-15 Alkyl Benzoate, Isocetyl Stearate, Cetyl Alcohol, Panthenol, PEG-100 Stearate, Propylene Glycol Stearate, Butylene Glycol, Tocopheryl Acetate, Dimethicone, Lanolin Oil, Oleic Acid, Persea Gratissima (Avocado) Oil, Rosa Canina Fruit Oil, Soy Acid, Palmitoyl Oligopeptide, Palmitoyl Tripeptide-5, Acetyl Hexapeptide-8, Palmitoyl Tetrapeptide-7, Hyaluronic Acid, Ascorbic Acid, Retinyl Palmitate, Sodium Ascorbyl Phosphate, Tocopheryl Linoleate/Oleate, Soluble Collagen, Hydrolyzed Elastin, Camellia Oleifera Leaf Extract, Camellia Sinensis Leaf Extract, Echinacea Angustifolia Extract, Macrocystis Pyrifera (Kelp) Extract, Vitis Vinifera (Grape) Seed Extract, Lactic Acid, Tartaric Acid, Sodium PCA, Wheat Amino Acids, Caprylic/Capric Triglyceride, Ginkgo Biloba Leaf Extract, Foeniculum Vulgare (Fennel) Seed Extract, Helianthus Annuus (Sunflower) Seed Oil, Bisabolol, Viola Tricolor Extract, Stearoxytrimethylsilane, PEG-8 Dimethicone, Methyldihydrojasmonate, Histidine HCL, Superoxide Dismutase, Centella Asiatica Extract, BHT, Octyldodecanol, Sodium Propoxyhydroxypropyl Thiosulfate Silica, Carbomer, Maleic Acid, Citrus Limon (Lemon) Peel Extract, Citrus Aurantifolia (Lime) Peel Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Tangerina (Tangerine) Peel Extract, Mentha Piperita (Peppermint) Extract, Salvia Officinalis (Sage) Leaf Extract, Zingiber Officinale (Ginger) Root Extract, Polysorbate 20, Lanolin Alcohol, Stearyl Alcohol, Ascorbyl Methylsilanol Pectinate, Disodium EDTA, Xanthan Gum, Stearic Acid, Ambrettolide, Dipropylene Glycol, Methylpropanediol, EDTA, Silica, Limonene, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol.",0,0,0,0,0,High
274,Moisturizer,BOBBI BROWN,Hydrating Face Cream Moisturizer,60,4.3,"Water, Dimethicone, Butylene Glycol, Cetyl Alcohol, Ethylhexyl Palmitate, Caprylic/Capric/Myristic/Stearic Triglyceride, Aleurites Moluccana (Kukui) Seed Oil, Myristyl Myristate, Glyceryl Stearate, Algae Extract, Cetyl Phosphate, Polyperfluoromethylisopropyl Ether, Coriandrum Sativum (Coriander) Seed Oil, Rosmarinus Officinalis (Rosemary), Rosa Canina (Rose) Fruit Oil, Elettaria Cardamomum (Cardamom), Lavandula Angustifolia (Lavender), Jasminum Officinale (Jasmine), Tocopheryl Acetate, Cholesterol, Linoleic Acid, Trehalose, Glycerin, Caffeine, Peg-10 Dimethicone, Myristyl Laurate, Phytantriol, Acrylates Copolymer, Lecithin, Sodium Acrylates/Acrylonitrogens Copolymer, Phytosphingosine, Propylene Glycol Stearate, Sodium Hyaluronate, Polysorbate 20, Caprylyl Glycol, Sorbitan Laurate, Myristyl Alcohol, Propylene Glycol Laurate, Tocopherol, Glycine, Sodium Hydroxide, Carbomer, Hydroxyproline, Proline, Citric Acid, Hexylene Glycol, Disodium Edta, Phenoxyethanol",0,0,0,0,0,High
279,Moisturizer,CLINIQUE,Limited Edition Dramatically Different Moisturizing Lotion+™,39,0.0,"Water, Mineral Oil/Paraffinum Liquidum/Huile Minerale, Glycerin, Petrolatum, Stearic Acid, Glyceryl Stearate, Sesamum Indicum (Sesame) Oil, Urea, Lanolin Alcohol, Triethanolamine, Hordeum Vulgare (Barley) Extract/Extrait D'Orge, Cucumis Sativus (Cucumber) Fruit Extract, Helianthus Annuus (Sunflower) Seedcake, Propylene Glycol Dicaprate, Sodium Hyaluronate, Butylene Glycol, Pentylene Glycol, Trisodium Edta, Phenoxyethanol, Yellow 6 (Ci 15985), Yellow 5 (Ci 19140), Red 33 (Ci 17200).",1,1,0,0,0,High
284,Moisturizer,CLINIQUE,Repairwear Laser Focus Night Line Smoothing Cream for Very Dry to Dry Combination Skin,52,4.7,"Water , Pentaerythrityl Tetraethylhexanoate , Butylene Glycol , Hexyldecyl Stearate , Simmondsia Chinensis (Jojoba) Seed Oil , Glyceryl Stearate , Glycerin , Peg-100 Stearate , Hydrogenated Lecithin , Cetearyl Alcohol , Dimethicone , Behenyl Alcohol , Cetyl Ricinoleate , Aspalathus Linearis (Red Tea) Leaf Extract , Camellia Sinensis (Yellow Tea) Leaf Extract , Camellia Sinensis (White Tea) Leaf Extract , Scutellaria Baicalensis Root Extract , Betula Alba (Birch) Bark Extract , Centella Asiatica (Hydrocotyl) Extract , Morus Bombycis (Mulberry) Root Extract , Sodium Dna , Saccharomyces Lysate Extract , Astrocaryum Murumuru Seed Butter , Micrococcus Lysate , Polygonum Cuspidatum Root Extract , Hydrolyzed Rice Extract , Coffea Robusta Seed Extract , Triticum Vulgare (Wheat) Germ Extract , Padina Pavonica Thallus Extract , Rosmarinus Officinalis (Rosemary) Leaf Extract , Sigesbeckia Orientalis (St. Paul'S Wort) Extract , Hordeum Vulgare (Barley) Extract/Extrait D'Orge , Algae Extract , Acetyl Hexapeptide-8 , Betaine , Creatine , Trehalose , Caffeine , Cholesterol , Squalane , Arginine , Decarboxy Carnosine Hcl , Artemia Extract , Adenosine Phosphate , Hydroxyproline , Disodium Nadh , Ethylhexyl Stearate , Sucrose , Proline , Phytosphingosine , Propylene Glycol Dicaprate , Ethylhexyl Palmitate , Laurdimonium Hydroxypropyl Hydrolyzed Soy Protein , Acrylates Copolymer , Petrolatum , Caprylyl Glycol , Sorbitol , Acrylamide/Sodium Acryloyldimethyltaurate Copolymer , Sodium Rna , Cetearyl Glucoside , Isohexadecane , Acrylates/C10-30 Alkyl Acrylate Crosspolymer , Linoleic Acid , Tocopheryl Acetate , Tromethamine , Dipalmitoyl Hydroxyproline , Sodium Hyaluronate , Yeast Extract/Faex/Extrait De Levure , Polysorbate 80 , Coleus Barbatus Extract , Glycine Soja (Soybean) Protein , Lecithin , Glycine , Aminopropyl Ascorbyl Phosphate , Carbomer , Nordihydroguaiaretic Acid , Ascorbyl Tocopheryl Maleate , Xanthan Gum , Citric Acid , Hexylene Glycol , Potassium Sulfate , Potassium Sorbate , Disodium Edta , Phenoxyethanol",0,0,0,0,0,High
286,Moisturizer,GLAMGLOW,DREAMDUO™ Overnight Transforming Treatment,59,4.2,"Water, Dimethicone, Isohexadecane, Glycerin, Bis-Peg-18 Methyl Ether Dimethyl Silane, Butylene Glycol, Peg-10 Dimethicone, Propanediol, Petrolatum, Disteardimonium Hectorite, Tocopheryl Acetate, Sodium Hyaluronate, Tetrahexyldecyl Ascorbate, Camellia Sinensis (Green Tea) Leaf Extract, Citrus Reticulata (Tangerine) Peel Extract, Cladosiphon Okamuranus Extract, Coffea Arabica (Coffee) Seed Extract, Cucumis Sativus (Cucumber) Fruit Extract, Garcinia Mangostana Peel Extract, Helianthus Annuus (Sunflower) Seedcake, Hordeum Vulgare (Barley) Extract/Extrait D'Orge, Lycium Chinense (Wolfberry) Fruit Extract, Punica Granatum (Pomegranate) Extract, Sapindus Mukorossi Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Yeast Extract/Faex/Extrait De Levure, Caesalpinia Spinosa Gum, Caffeine, Propylene Glycol Dicaprate, Ergothioneine, Sorbitol, Trehalose, Menthoxypropanediol, Dextrin, Triethoxycaprylylsilane, Polyethylene, Polysilicone-11, Glucosamine Hcl, Isododecane, Peg-6, Peg-32, Propylene Carbonate, Caprylyl Glycol, Hexylene Glycol, Citric Acid, Ethylhexyl Hydroxystearate, Fragrance, Citral, Limonene, Linalool, Bht, Disodium Edta, Sodium Citrate, Phenoxyethanol, Bismuth Oxychloride (Ci 77163), Iron Oxides (Ci 77499) Rds Product Name",1,1,1,1,0,High
293,Moisturizer,LA MER,The Moisturizing Matte Lotion,270,3.9,"Water, Algae (Seaweed) Extract, Propanediol, Squalane, Propylene Glycol Dicaprylate/Dicaprate, Methyl Methacrylate Crosspolymer, Hydrogenated Lecithin, Butylene Glycol, Octyldodecyl Neopentanoate, Glyceryl Stearate Se, Sesamum Indicum (Sesame) Seed Oil, Medicago Sativa (Alfalfa) Seed Powder, Helianthus Annuus (Sunflower) Seedcake, Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal, Eucalyptus Globulus (Eucalyptus) Leaf Oil, Sodium Gluconate, Copper Gluconate, Calcium Gluconate, Magnesium Gluconate, Zinc Gluconate, Tocopheryl Succinate, Niacin, Sesamum Indicum (Sesame) Seed Powder, Citrus Aurantifolia (Lime) Peel Extract, Nylon-12, Sucrose, Salicornia Herbacea Extract, Hydrolyzed Rice Extract, Sea Salt/Maris Sal/Sel Marin, Laminaria Saccharina Extract, Crithmum Maritimum Extract, Chlorella Vulgaris Extract, Padina Pavonica Thallus Extract, Macrocystis Pyrifera (Kelp) Extract, Spirulina Platensis (Algae) Powder, Plankton Extract, Hydrolyzed Algin, Sigesbeckia Orientalis (St. Paul'S Wort) Extract, Glycerin, Laminaria Digitata Extract, Sodium Hyaluronate, Glucose Oxidase, Lactoperoxidase, Acetyl Hexapeptide-8, Dipalmitoyl Hydroxyproline, Caffeine, Glucose, Caprylic/Capric Triglyceride, Behenyl Alcohol, Dimethicone, Tocopheryl Acetate, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Tetrahexyldecyl Ascorbate, Polyacrylate Crosspolymer-6, Isohexadecane, Lecithin, Potassium Stearate, Hydrogenated Vegetable Oil, Kaolin, Polysorbate 80, Fragrance, Xanthan Gum, Alcohol Denat., Disodium Edta, Bht, Limonene, Linalool, Citral, Hydroxycitronellal, Citronellol, Geraniol, Benzyl Salicylate, Benzyl Benzoate, Phenoxyethanol",0,0,1,1,0,High
295,Moisturizer,CLARINS,Super Restorative Night Age Spot Correcting Replenishing Cream,136,4.5,"Water, Cetearyl Isononanoate, Dimethicone, Glycerin, Hydrogenated Polyisobutene, Cetearyl Alcohol, Butyrospermum Parkii (Shea) Butter, Hydrogenated Coco-Glycerides, Pentylene Glycol, Glyceryl Stearate, Peg-100 Stearate, Cetearyl Glucoside, Phenoxyethanol, Parfum/Fragrance, Propylene Glycol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hexylresorcinol, Carbomer, Squalane, Polymethyl Methacrylate, Mica, Ci 77891/Titanium Dioxide, Tocopheryl Acetate, Sodium Hyaluronate, Sodium Hydroxide, Sorbic Acid, Xanthan Gum, Caprylic/Capric Triglyceride, O-Cymen-5-Ol, Butylene Glycol, Citric Acid, Disodium Edta, Polysorbate 60, Ginkgo Biloba Leaf Extract, Harungana Madagascariensis Extract, Sorbitan Isostearate, Olea Europaea (Olive) Fruit Extract, Cistus Monspeliensis Extract, Acetyl Tetrapeptide-2, Dextran, Tocopherol.",0,0,0,0,0,High
307,Cleanser,KIEHL'S SINCE 1851,Calendula Herbal Extract Alcohol Free Toner,35,4.3,"Water, Propylene Glycol, Pentylene Glycol, Methylparaben, Disodium EDTA, Arctium Lappa Extract/Arctium Lappa Root Extract, Calendula Officinalis Extract/Calendula Officinalis Flower Extract, Calendula Officinalis Flower Extract, Hydrolyzed Corn Starch, Allantoin, Hedera Helix Extract - Ivy Leaf/Stem Extract, Althaea Officinalis/Althaea Officinalis Root Extract.",0,0,0,0,0,High
323,Cleanser,FRESH,Sugar Face Polish Exfoliator,62,4.6,"Sucrose, Propylene Glycol Dicaprylate/Dicaprate, PEG-7 Glyceryl Cocoate, Stearalkonium Hectorite, Fragaria Vesca (Strawberry) Fruit Extract, Euphorbia Cerifera (Candelilla) Wax, Mangifera Indica (Mango) Seed Butter, Propylene Carbonate, Parfum (Fragrance), Limonene, Limnanthes Alba (Meadowfoam) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Prunus Domestica Seed Oil, Fructose, Glucose, Tocopheryl Acetate, Caramel, Glycerin, Aqua (Water), Potassium Sorbate, BHT, Citral.",0,0,0,0,0,High
332,Cleanser,SK-II,Facial Treatment Cleanser,75,4.3,"Water, Sodium Lauroyl Glutamate, Propylene Glycol, PEG-150 Stearate, Galactomyces Ferment Filtrate (Pitera), Sodium PCA, Glycol Stearate, Butylene Glycol, Cocamide Mea, Rosa Canina Fruit Oil, Stearamide Amp, Pentylene Glycol, Salix Alba Bark Extract/Salix Alba (Willow) Bark Extract, Dipotassium Glycyrrhizate, Hydroxyphenyl Propamidobenzoic Acid, Ascorbyl Palmitate, BHT, Phenethyl Alcohol, Methylparaben, Propylparaben.",1,1,1,1,1,High
333,Cleanser,DR. BRANDT SKINCARE,microdermabrasion age defying exfoliator,79,4.7,"Water, Alumina, Caprylic/Capric Triglyceride, Glycerin, Cetyl Alcohol, Glyceryl Stearate, Peg-100 Stearate, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Simmondsia Chinensis (Jojoba) Seed Oil, Xanthan Gum, Phenoxyethanol,Lactic Acid, Fragrance (Parfum), Menthone Glycerin Acetal, Allantoin, Disodium Edta, Tocopheryl Acetate, Magnesium Oxide, Propylene Glycol, Aloe Barbadensis Leaf Extract, Vitis Vinifera (Grape) Seed Extract, Chamomilla Recutita (Matricaria) Flower Extract, Camellia Sinensis Leaf Extract, Citral, Limonene.",1,1,1,1,0,High
350,Cleanser,PETER THOMAS ROTH,Anti-Aging Cleansing Gel,38,4.4,"Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Lauryl Glucoside, Propylene Glycol, Salicylic Acid, Glycolic Acid, Quercus Alba Bark Extract, Citrus Grandis (Grapefruit) Fruit Extract, Prunus Persica (Peach) Fruit Extract, Citrus Aurantifolia (Lime) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Arginine, Tilia Cordata Flower Extract, Allantoin, Bht, Panthenol, Butylene Glycol, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol, Amyl Cinnamal, Linalool, Fragrance, Red 40 (Ci 16035), Yellow 5 (Ci 19140).",0,0,0,0,0,High
359,Cleanser,IT COSMETICS,Bye Bye Makeup™ 3-in-1 Makeup Melting Cleansing Balm,38,4.5,"Ethylhexyl Palmitate, Peg-20 Glyceryl Triisostearate, Carthamus Tinctorius (Safflower) Seed Oil, Polyethylene, Macadamia Ternifolia Seed Oil, Peg-8 Isostearate, Butyrospermum Parkii (Shea) Butter, Tocopheryl Acetate, Aqua/Water/Eau, Aloe Barbadensis Leaf Extract, Camellia Sinensis Leaf Extract, Butylene Glycol, Glycerin, Glyceryl Linolenate, Beta-Sitosterol, Ceteth-24, Cholesterol, Glyceryl Linoleate, Choleth-24, Polysorbate 20, Niacinamide, Squalane, Peg-40 Hydrogenated Castor Oil, Glyceryl Arachidonate, Propylene Glycol, Panthenol, Avena Sativa (Oat) Kernel Extract, Ubiquinone, Ceramide Np, Ceramide Ap, Phytosphingosine, Curcuma Longa (Turmeric) Root Extract, Palmitoyl Tripeptide-1, Disteardimonium Hectorite, Propylene Carbonate, Palmitoyl Tetrapeptide-7, Palmitoyl Hexapeptide-12, Xanthan Gum, Copper Tripeptide-1, Palmitoyl Pentapeptide-4, Acetyl Hexapeptide-8, Ceramide Eos, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Sodium Ascorbyl Phosphate, Retinyl Palmitate, Potassium Cetyl Phosphate, Silica, Hyaluronic Acid, Glycyrrhiza Glabra (Licorice) Root Extract, Hydrolyzed Collagen, Chamomilla Recutita (Matricaria) Flower Water, Colloidal Oatmeal, Leuconostoc/Radish Root Ferment Filtrate, Biotin, Octyldodecanol, Hydrogenated Lecithin, Carbomer, Caprylic/Capric Triglyceride, Sodium Lauroyl Lactylate, Sodium Lactate, Lecithin, Pentaerythrityl Tetraisostearate, Cyclomethicone, Dimethicone, Paraffinum Liquidum/ Mineral Oil/Huile Minerale, Citrus Aurantium Dulcis (Orange) Oil, Citric Acid, Disodium EDTA, Caprylyl Glycol, Phenoxyethanol, 1,2-Hexanediol, Ethylhexylglycerin, Fragrance, Alcohol.",1,1,1,1,1,High
361,Cleanser,AMOREPACIFIC,Treatment Cleansing Foam,50,4.5,"Water, Glycerin, Stearic Acid, Myristic Acid, Potassium Hydroxide, Lauric Acid, Peg-8, Sodium Myristoyl Glutamate, Glyceryl Stearate, Peg-32, Peg/Ppg-25/30 Copolymer, Sorbitol, Peg-200 Hydrogenated Glyceryl Palmate, Cocamidopropyl Betaine, Phyllostachis Bambusoides Juice, Panax Ginseng Root Extract, Mangifera Indica (Mango) Seed Butter, Olea Europaea (Olive) Fruit Oil, Helianthus Annuus (Sunflower) Seed Oil, Algae Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Corallina Officinalis Extract, Lactose, Disodium Edta, Microcrystalline Cellulose, Butylene Glycol, Sucrose, Alcohol, Zea Mays (Corn) Starch, Olive Oil Peg-8 Esters, Ultramarines (Ci 77007), Xanthan Gum, Tocopheryl Acetate, Trehalose, Triclosan, Phosphatidylcholine, Propylene Glycol, Peg-100 Stearate, Peg-14m, Peg-5 Rapeseed Sterol, Peg-7 Glyceryl Cocoate, Hydrogenated Lecithin, Sodium Benzoate, Fragrance.",1,0,1,1,0,High
369,Cleanser,LANEIGE,Multi Cleanser,23,4.5,"Water, Glycerin, Stearic Acid, Myristic Acid, PEG-32, Potassium Hydroxide, Butylene Glycol, Propylene Glycol, Laureth-1 Phosphate, Cellulose, Lauric Acid, Lauryl Phosphate, Papain, Camellia Sinensis Leaf Extract, Lactobacillus, Water Hyacinth Ferment, Mannitol, Hydrolyzed Wheat Protein, Lauramide DEA, PEG-100 Stearate, Glyceryl Stearate, Disodium EDTA, Polymethyl Methacrylate, PEG-75, Fragrance.",1,1,1,1,1,High
370,Cleanser,CLARINS,Gentle Foaming Cleanser with Cottonseed,26,4.5,"Water, Glycerin, Stearic Acid, Myristic Acid, Potassium Hydroxide, Dimethicone, Lauric Acid, Sodium Lauroyl Sarcosinate, Tipa-Laureth Sulfate, Glycol Distearate, Glyceryl Behenate, Ozokerite, Parfum/Fragrance, Propylene Glycol, Tetrasodium Edta, Alpha-Glucan Oligosaccharide, Polymnia Sonchifolia Root Juice, Maltodextrin, Gossypium Herbaceum (Cotton) Seed Extract, Gypsophila Paniculata Root Extract, Lactobacillus, Potassium Sorbate, Methylchloroisothiazolinone, Methylisothiazolinone, Bh, Benzyl Salicylate, Butylphenyl, Methylpropional, Limonene, Linalool, Ci7789/Titanium Dioxide.",1,0,1,0,0,High
380,Cleanser,CLARINS,Toning Lotion with Camomile,26,4.5,"Water, Sorbitol, Dipropylene Glycol, Oleth-20, Glycerin, Panthenol, Butylene Glycol, Propylene Glycol, Parfum (Fragrance),PEG-8, Alpha-Glucan Oligosaccharide, PEG-32, Lactic Acid, Carbomer, Tilia Cordata Wood Extract, Tocopheryl Acetate, Anthemis Nobilis Flower Extract, Bletia Hycinthina Bulb Extract, Retinyl Palmitate, Helianthus Annuus (Sunflower) Seed Oil, Phenoxyethanol, Methylparaben, Sodium Citrate, Disodium EDTA, BHT, Limonene, Linalool, Geraniol, Citral, Citronellol, CI 19140/Yellow 5.",1,1,1,0,1,High
381,Cleanser,LAURA MERCIER,Flawless Skin Face Polish,32,4.7,"Aqua (Water), Polyethylene, Butylene Glycol, Glyercyl Stearate SE, Stearic Acid, Glyceryl Stearate, Helianthus Annuus (Sunflower) Seed Oil, Sodium C12-15 Pareth-15 Sulfonate, Cetyl Alcohol, PEG-2 Cocamide, Cetearyl Alcohol, Triethanolamine, Jojoba Esters, Macadamia Integrifolia Seed Oil, Polyquaternium-39, Sodium Lauryl Sulfate, Phenoxyethanol, Ceteareth-20, Methylparaben, Carbomer, Titanium Dioxide, Parfum (Fragrance), Avena Sativa Kernel Flour (Oat) Kernel Flour, Disodium EDTA, Ethylparaben, Butylparaben, Propylene Glycol, Propylparaben, Isobutylparaben, Rosa Canina Flower Extract, Salvia Officinalis Leaf Extract (Sage) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Urtica Dioica (Nettle) Extract, Methylisothiazolinone, Methylchloroisothiazolinone, Magnesium Nitrate, Magnesium Chloride, Linalool, Geraniol Alpha-Isomethyl Ionone, Citronellol, Benzyl Benzoate, Benzyl Alcohol, Isoeugenol, Benzyl Salicylate, Limonene, CI 14700 (Red 4), CI 19140 (Yellow 5), CI 15985 (Yellow 6).",0,0,0,0,0,High
382,Cleanser,NEOGEN DERMALOGY,Green Tea Real Fresh Foam Cleanser,19,4.4,"Camellia Sinensis Leaf Water, Camellia Sinensis Leaf, Saponaria Officinalis Leaf Extract , Potassium Cocoyl Glycinate, Glycerin, Methylglucamine, Lauric Acid, Sapindus Trifoliatus Fruit Extract, C12-14 Pareth-12, Myristic Acid, Propylene Glycol, Olive Oil PEG-7 Esters, Cocamidopropyl Betaine, Peg-60 Hydrogenated Castor Oil, Ethylhexylglycerin, Caprylyl Glycol, Tropolone, Citric Acid, Trehalose, Allantoin, Acetyl Glucosamine, Moringa Pterygosperma Seed Extract, Plankton Extract, Vaccinium Myrtillus Fruit/Leaf Extract, Saccharum Officinarum(Sugar Cane) Extract, Acer Saccharum(Sugar Maple) Extract, Citrus Aurantium Dulcis(Orange) Fruit Extract, Citrus Medica Limonum(Lemon) Fruit Extract, Sodium Hyaluronate, Carica Papaya(Papaya) Fruit Water, Gypsophila Paniculata Root Extract, Panthenol, Argania Spinosa Kernel Oil, Niacinamide, Achillea Millefolium Extract, Gentiana Lutea Root Extract, Portulaca Oleracea Extract, Hamamelis Virginiana(Witch Hazel) Extract, Anthemis Nobilis Flower Extract, Tricholoma Matsutake Extract, Cordyceps Sinensis Extract, Citrus Paradisi (Grapefruit) Fruit Extract, Pisum Sativum (Pea) Extract, Glycine Soja (Soybean) Seed Extract, Vitis Vinifera (Grape) Fruit Extract, Saururus Chinensis Leaf/Root Extract , Arnica Montana Flower Extract , Artemisia Absinthium Extract , Broussonetia Kazinoki Bark Extract, Lactobacillus/Aspergillus/Prunus Mume Fruit Ferment Filtrate, Lactobacillus/Punica Granatum Fruit Ferment Extract, Lactobacillus/Soybean Ferment Extract, Lactobacillus/Nelumbo Nucifera Seed Ferment Filtrate, Aristotelia Chilensis Fruit Extract, Ribes Nigrum (Black Currant) Fruit Extract, Chrysanthemum Sibiricum Extract, Psidium Guajava Fruit Extract, Laminaria Japonica Extract, Caulerpa Lentillifera Extract, Hibiscus Esculentus Fruit Extract, Malva Sylvestris(Mallow) Extract, Malt Extract, Passiflora Edulis Fruit Extract, Averrhoa Carambola Fruit Extract, Chenopodium Quinoa Seed Extract, Dioscorea Japonica Root Extract, Forsythia Suspensa Fruit Extract, Laminaria Digitata Extract, Acorus Calamus Root Extract, Lithospermum Erythrorhizon Root Extract, Nelumbo Nucifera Flower Extract, Cucumis Sativus(Cucumber) Fruit Extract, Angelica Gigas Root Extract, Panax Ginseng Root Extract, Cornus Officinalis Fruit Extract, Schizandra Chinensis Fruit Extract, Asparagus Cochinchinensis Root Extract, Amber Extract, Pinus Densiflora Extract, Hydrolyzed Coral, Tremella Fuciformis(Mushroom) Extract, Sarcodon Aspratus Extract, Ledebouriella Seseloides Root Extract, Lepidium Meyenii Root Extract, Paeonia Lactiflora Root Extract, Citrus Junos Fruit Extract, Chaenomeles Sinensis Fruit Extract, Oryza Sativa(Rice) Bran Extract, Citrus Aurantium Dulcis(Orange) Flower Extract, Hippophae Rhamnoides Extract, Garcinia Mangostana Peel Extract, Magnolia Liliflora Flower Extract, Angelica Dahurica Root Extract, Angelica Archangelica Root Extract, Uncaria Tomentosa Extract, Lilium Tigrinum Extract, Laurus Nobilis Leaf Extract, Musa Sapientum(Banana) Fruit Extract, Cnidium Officinale Root Extract, Atractyloides Japonica Rhizome Extract, Salicornia Herbacea Extract, Mangifera Indica (Mango) Fruit Extract, Aloe Barbadensis Leaf Extract, Opuntia Ficus-Indica Extract, Swiftlet Nest Extract, Cocos Nucifera(Coconut) Fruit Extract, Honey Extract, Linum Usitatissimum(Linseed) Seed Extract, Agaricus Blazei Extract, Plumeria Rubra Flower Extract, Melissa Officinalis Leaf Extract, Cymbopogon Citratus Extract, Citrus Unshiu Peel Extract, Disodium EDTA, Carthamus Tinctorius (Safflower) Flower Extract, Gardenia Florida Fruit Extract, Fragrance.",1,1,1,1,1,High
399,Cleanser,LANCÔME,Crème Radiance Gentle Cleansing Creamy-Foam Cleanser,26,4.5,"Glycerin, Water, Myristic Acid, Stearic Acid, Potassium Hydroxide, Palmitic Acid, Glyceryl Stearate Se, Lauric Acid, Coco-Glucoside, Glycol Distearate, Fragrance, P-Anisic Acid, Tocopherol, Peg-14m, Nelumbo Nucifera Flower Extract, Limonene, Benzyl Salicylate, Linalool, Benzyl Alcohol, Propylene Glycol, Disodium Edta, Rosa Gallica Extract, Butylphenyl Methylpropional, Cryptomeria Japonica Bud Extract.",0,0,0,0,0,High
400,Cleanser,OLEHENRIKSEN,Truth™ On the Glow Cleansing Cloths,15,4.2,"Water, Gluconolactone, Olea Europaea (Olive) Fruit Oil, Sodium Benzoate, Glycerin, Parfum/Fragrance, Coco-Glucoside, Aroma/Flavor, Dehydroacetic Acid, Tocopheryl Acetate, Citric Acid, Ascorbic Acid, Calcium Gluconate, Elaeis Guineensis Oil, Vitis Vinifera (Grape) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Squalane, Propylene Glycol, Ribes Nigrum (Black Currant) Seed Oil, Pullulan, Cera Carnauba/Copernicia Cerifera (Carnauba) Wax/Cire De Carnauba, Camellia Sinensis Leaf Extract, Rosa Gallica Flower Extract, Decyl Glucoside, Nannochloropsis Oculata Extract, Pentylene Glycol, Punica Granatum (Pomegranate) Fruit Extract, Potassium Sorbate, Phenoxyethanol, Ubiquinone, Vitis Vinifera (Grape) Seed Extract, Tocopherol, Sorbic Acid, Rosa Damascena Flower Oil, Sodium Sulfite, Trisodium EDTA, Limonene, Benzyl Alcohol, Citral, Linalool.",1,1,1,1,1,High
401,Cleanser,CLARINS,One-Step Gentle Exfoliating Cleanser with Orange Extract,38,4.7,"Water, Sodium Laureth Sulfate, Cetearyl Alcohol, Cellulose, Cocamidopropyl Betaine, Lauramide Mipa, Glycol Distearate, Cetearyl Glucoside, Glycerin,- Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tea-Cocoyl Glutamate, Citrus Aurantium Dulcis (Orange) Fruit Water, Silica, Butyrospermum Parkii (Shea Butter) Fruit, Fragrance (Parfum), Phenoxyisopropanol, Sodium Chloride, Propylene Glycol, Sodium Hydrozide, Benzophenone-2, Butylparaben, Disodium Edta, Methylchloroisothiazolinone, Moringa Pterygosperma Seed Extract, Methylisothiazolinone, Chlorphenesin, Ethylparaben, Methylparaben, BHT, Benzyl Salicylate, Butylphenyl Methylpropional, Limone, Linalool, Geraniol, Yellow 6 (CI 15985).",1,1,1,1,0,High
